id	title	name	birthyear	deathyear	choronym
ITKC_MI_0198A	우계집(牛溪集)	성혼(成渾)	1535년(중종 30)	1598년(선조 31)	창녕(昌寧)
ITKC_MI_0199A	내암집(來庵集)	정인홍(鄭仁弘)	1536년(중종 31)	1623년(인조 1)	서산(瑞山)
ITKC_MI_0200A	청강집(淸江集)	이제신(李濟臣)	1536년(중종 31)	1583년(선조 16)	전의(全義)
ITKC_MI_0201A	율곡전서(栗谷全書)	이이(李珥)	1536년(중종 31)	1584년(선조 17)	덕수(德水)
ITKC_MI_0202A	약포유고(藥圃遺稿)	이해수(李海壽)	1536년(중종 31)	1599년(선조 32)	전의(全義)
ITKC_MI_0203A	송강집(松江集)	정철(鄭澈)	1536년(중종 31)	1593년(선조 26)	연일(延日)
ITKC_MI_0204A	졸옹집(拙翁集)	홍성민(洪聖民)	1536년(중종 31)	1594년(선조 27)	남양(南陽)
ITKC_MI_0205A	건재집(健齋集)	김천일(金千鎰)	1537년(중종 32)	1593년(선조 26)	언양(彥陽)
ITKC_MI_0206A	옥봉집(玉峯集)	백광훈(白光勳)	1537년(중종 32)	1582년(선조 15)	해미(海美)
ITKC_MI_0207A	월정집(月汀集)	윤근수(尹根壽)	1537년(중종 32)	1616년(광해군 8)	해평(海平)
ITKC_MI_0208A	대소헌일고(大笑軒逸稿)	조종도(趙宗道)	1537년(중종 32)	1597년(선조 30)	함안(咸安)
ITKC_MI_0209A	아계유고(鵝溪遺稿)	이산해(李山海)	1539년(중종 34)	1609년(광해군 1)	한산(韓山)
ITKC_MI_0210A	학봉집(鶴峯集)	김성일(金誠一)	1538년(중종 33)	1593년(선조 26)	의성(義城)
ITKC_MI_0211A	백곡집(栢谷集)	정곤수(鄭崐壽)	1538년(중종 33)	1602년(선조 35)	청주(淸州)
ITKC_MI_0212A	각재집(覺齋集)	하항(河沆)	1538년(중종 33)	1590년(선조 23)	진주(晉州)
ITKC_MI_0213A	겸암집(謙菴集)	유운룡(柳雲龍)	1539년(중종 34)	1601년(선조 34)	풍산(豐山)
ITKC_MI_0214A	파곡유고(坡谷遺稿)	이성중(李誠中)	1539년(중종 34)	1593년(선조 26)	전주(全州)
ITKC_MI_0215A	간이집(簡易集)	최립(崔岦)	1539년(중종 34)	1612년(광해군 4)	통천(通川)
